epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7261,0.90631,2.83734,1.02264,0.16176,0.8169,0.34187,0.24217,1.29957,6.9089,1.33051,0.000651852,0.000651852,0.000651852
2,30.6853,0.95259,0.8694,1.03346,0.84825,0.71831,0.76838,0.54363,1.27231,2.18815,1.39322,0.00129241,0.00129241,0.00129241
3,44.5039,0.90477,0.82999,0.99845,0.0944,0.61972,0.07838,0.05263,1.27653,41.4185,1.41989,0.00190657,0.00190657,0.00190657
4,58.3452,0.92887,0.764,1.03167,0.01694,0.52113,0.01383,0.00676,1.67135,27.9283,3.78939,0.0018812,0.0018812,0.0018812
5,72.1979,0.90239,0.73672,1.022,0.77782,0.73966,0.79441,0.5016,1.5406,1.50631,1.62569,0.0018416,0.0018416,0.0018416
6,86.0989,0.851,0.69671,1.00767,0.87508,0.8169,0.8521,0.5835,1.50188,1.27191,1.53359,0.001802,0.001802,0.001802
7,100.258,0.85316,0.64726,1.00824,0.96088,0.78873,0.86272,0.59936,1.62204,1.31452,1.68195,0.0017624,0.0017624,0.0017624
8,114.596,0.85179,0.66147,1.0317,0.97499,0.85915,0.92512,0.64721,1.16249,0.74113,1.26691,0.0017228,0.0017228,0.0017228
9,129.549,0.80843,0.67176,0.98421,0.97514,0.77465,0.86098,0.58275,1.41093,0.99709,1.35059,0.0016832,0.0016832,0.0016832
10,143.976,0.77122,0.62801,0.97719,0.89758,0.86406,0.89948,0.62407,1.39772,0.89403,1.41759,0.0016436,0.0016436,0.0016436
11,157.869,0.74854,0.55126,0.95577,0.95292,0.85531,0.90587,0.60946,1.36172,0.94478,1.30203,0.001604,0.001604,0.001604
12,172.009,0.74047,0.57396,0.97354,0.96664,0.81636,0.90619,0.60379,1.12994,0.90092,1.26975,0.0015644,0.0015644,0.0015644
13,186.045,0.75098,0.54889,0.97386,0.93556,0.87324,0.90055,0.59913,1.21633,0.81277,1.31719,0.0015248,0.0015248,0.0015248
14,200.099,0.76581,0.54831,0.97398,0.96438,0.87324,0.90031,0.65555,1.17986,0.99094,1.34231,0.0014852,0.0014852,0.0014852
15,214.2,0.76655,0.55282,0.99014,0.9841,0.87167,0.90981,0.64431,1.21799,0.77262,1.37695,0.0014456,0.0014456,0.0014456
16,228.314,0.71543,0.4783,0.95908,0.99574,0.84507,0.9158,0.64917,1.15704,0.93437,1.22333,0.001406,0.001406,0.001406
17,242.463,0.70318,0.48417,0.94144,0.99384,0.87324,0.91777,0.66955,1.41499,0.91595,1.41644,0.0013664,0.0013664,0.0013664
18,256.537,0.68013,0.47584,0.94345,0.97796,0.85915,0.92832,0.66829,1.01764,0.69826,1.13357,0.0013268,0.0013268,0.0013268
19,270.543,0.67082,0.48062,0.94813,0.95439,0.90141,0.92241,0.65017,1.12067,0.65917,1.29278,0.0012872,0.0012872,0.0012872
20,284.582,0.66589,0.48111,0.9429,0.9539,0.87426,0.92648,0.66269,1.20966,0.79881,1.2799,0.0012476,0.0012476,0.0012476
21,299.164,0.68356,0.4709,0.93385,0.96936,0.90141,0.9273,0.66327,1.24019,0.62725,1.37256,0.001208,0.001208,0.001208
22,313.869,0.65034,0.46287,0.94188,0.9107,0.86185,0.90233,0.65089,1.09286,0.77534,1.2203,0.0011684,0.0011684,0.0011684
23,328.124,0.62846,0.44909,0.92675,0.95095,0.88732,0.90681,0.66464,1.12227,0.66878,1.19206,0.0011288,0.0011288,0.0011288
24,342.236,0.61433,0.4081,0.91602,1,0.84418,0.896,0.65224,1.08616,0.68622,1.17183,0.0010892,0.0010892,0.0010892
25,356.295,0.62633,0.42277,0.9123,0.99361,0.84507,0.90509,0.67391,1.12198,0.70015,1.31298,0.0010496,0.0010496,0.0010496
26,370.406,0.60171,0.42195,0.92364,0.99379,0.88732,0.92809,0.68517,1.06265,0.69427,1.20822,0.00101,0.00101,0.00101
27,384.737,0.60711,0.40385,0.91426,1,0.88082,0.91719,0.67121,1.15942,0.64895,1.3083,0.0009704,0.0009704,0.0009704
28,398.786,0.56545,0.38568,0.89823,1,0.84437,0.91731,0.66591,1.01788,0.65346,1.15903,0.0009308,0.0009308,0.0009308
29,413.012,0.54003,0.38155,0.88123,1,0.84013,0.90982,0.66151,1.11267,0.80225,1.22985,0.0008912,0.0008912,0.0008912
30,427.212,0.56617,0.38399,0.9026,0.9176,0.90141,0.92787,0.69991,1.01689,0.62222,1.14049,0.0008516,0.0008516,0.0008516
31,441.328,0.55848,0.38679,0.90784,0.89004,0.91208,0.88807,0.63484,1.19217,0.68323,1.25281,0.000812,0.000812,0.000812
32,455.588,0.5614,0.38572,0.90469,0.98477,0.91068,0.94466,0.69455,0.9422,0.59157,1.1015,0.0007724,0.0007724,0.0007724
33,469.716,0.52517,0.37279,0.90765,0.93642,0.90141,0.94211,0.69409,0.94975,0.56231,1.10955,0.0007328,0.0007328,0.0007328
34,483.904,0.54413,0.35308,0.88569,0.99639,0.88732,0.94134,0.68379,0.96009,0.53394,1.08507,0.0006932,0.0006932,0.0006932
35,497.924,0.53111,0.35495,0.90411,0.96652,0.90141,0.92674,0.69706,1.11148,0.594,1.27656,0.0006536,0.0006536,0.0006536
36,512.085,0.51466,0.36078,0.86746,0.98452,0.89562,0.94726,0.69043,1.03307,0.51469,1.1542,0.000614,0.000614,0.000614
37,526.684,0.51718,0.34868,0.89154,0.93873,0.88732,0.91832,0.65184,1.10861,0.59446,1.28764,0.0005744,0.0005744,0.0005744
38,541.447,0.48832,0.32764,0.88001,0.96898,0.87991,0.9316,0.6841,1.00624,0.53685,1.19235,0.0005348,0.0005348,0.0005348
39,555.566,0.50517,0.33867,0.8822,0.93335,0.88732,0.91712,0.66605,1.05741,0.60875,1.21446,0.0004952,0.0004952,0.0004952
40,569.614,0.47689,0.32032,0.88377,0.93961,0.87655,0.93132,0.65435,1.05639,0.57869,1.14774,0.0004556,0.0004556,0.0004556
